,Date,Time,Location,Turbidity,E_coli,Flow,Gage_height,Prcp,Awnd,Tavg,Tmax,Tmin,Wdf2,Prev_two_prcp,Prev_three_prcp,Prev_five_prcp,UV_Irradiance,Cloud_Cover,SinDOY
0,2020-06-25,10:10:00,Lewisburg Pike,,1.0,28.8,2.36,0.0,1.4,24.9,31.1,19.4,270.0,13.5,14.800000000000008,31.099999999999994,2.16,57.16,0.16254473532236896
1,2020-07-01,10:30:00,Lewisburg Pike,,2400.0,118,3.14,1.8,1.9,23.9,28.9,21.1,210.0,36.4,36.400000000000006,36.39999999999999,1.26,95.05,0.05994793913150471
2,2020-07-02,11:10:00,Lewisburg Pike,,1100.0,122,3.16,0.0,1.3,25.9,33.9,20.6,70.0,37.9,38.2,38.19999999999999,2.35,43.94,0.04275665917752641
3,2020-07-08,10:55:00,Lewisburg Pike,,550.0,58.8,2.69,0.0,1.5,28.3,35.0,22.8,80.0,0.0,0.0,10.399999999999991,2.34,54.46,-0.06047861133817511
4,2020-07-10,10:04:00,Lewisburg Pike,,290.0,46.3,2.57,0.0,3.2,29.1,35.0,23.3,330.0,0.0,0.0,0.0,2.51,17.69,-0.09480137439153988
5,2020-07-16,10:25:00,Lewisburg Pike,,170.0,34.4,2.43,0.0,2.7,29.5,35.0,23.9,170.0,0.0,0.0,17.799999999999994,2.42,46.12,-0.1969335095981846
6,2020-07-17,09:57:00,Lewisburg Pike,,190.0,28.0,2.35,0.0,2.2,29.4,35.0,23.9,190.0,0.0,0.0,17.799999999999994,2.49,32.58,-0.21378059613171532
7,2020-07-23,10:53:00,Lewisburg Pike,,870.0,32.0,2.40,0.3,1.5,26.3,34.4,23.3,160.0,3.8,3.800000000000007,3.7999999999999927,2.2,80.3,-0.31335948235359923
8,2020-07-29,09:46:00,Lewisburg Pike,,110.0,23.6,2.10,0.0,1.1,26.7,32.8,23.3,200.0,38.1,43.400000000000006,47.49999999999999,2.09,70.23,-0.4095984703481101
9,2020-08-05,10:36:00,Lewisburg Pike,,230.0,40.7,2.47,0.0,2.8,24.3,30.6,19.4,340.0,0.0,0.0,22.099999999999994,2.01,23.86,-0.5162900597892921
10,2020-08-12,11:16:00,Lewisburg Pike,,210.0,9.18,1.95,2.3,1.5,26.9,32.2,23.9,50.0,0.0,1.000000000000007,0.9999999999999928,1.72,77.65,-0.6154941241997053
11,2020-08-19,10:15:00,Lewisburg Pike,,160.0,6.31,1.84,0.0,3.8,24.1,29.4,20.0,20.0,0.0,0.0,0.7999999999999929,1.68,69.23,-0.7057719511707795
