,date,AWND,PRCP,TAVG,TMAX,TMIN,WDF2,2_day_PRCP,3_day_PRCP,5_day_PRCP
0,2020-01-01,2.7,0.0,5.7,11.1,0.6,190.0,,,
1,2020-01-02,4.3,31.2,9.4,12.2,7.8,140.0,,,
2,2020-01-03,1.8,9.9,12.6,15.0,11.1,150.0,31.2,,
3,2020-01-04,4.4,0.8,8.6,12.8,1.7,290.0,41.1,41.1,
4,2020-01-05,2.9,0.0,4.5,13.3,-1.6,190.0,10.700000000000001,41.9,
5,2020-01-06,1.7,2.0,7.3,12.8,0.0,310.0,0.8,10.700000000000001,41.9
6,2020-01-07,3.1,0.0,7.9,12.2,2.2,280.0,2.0,2.8,43.9
7,2020-01-08,1.8,0.0,7.8,15.6,1.1,150.0,2.0,2.0,12.7
8,2020-01-09,5.9,0.0,8.8,16.7,2.8,180.0,0.0,2.0,2.8
9,2020-01-10,7.0,1.8,16.3,20.0,15.0,180.0,0.0,0.0,1.9999999999999998
10,2020-01-11,7.1,38.4,17.9,21.7,7.8,170.0,1.8,1.8,3.8
11,2020-01-12,1.7,0.0,8.8,11.7,3.3,190.0,40.199999999999996,40.199999999999996,40.199999999999996
12,2020-01-13,1.3,0.0,7.5,13.9,2.8,120.0,38.4,40.199999999999996,40.199999999999996
13,2020-01-14,1.9,16.0,13.7,17.2,11.1,320.0,0.0,38.4,40.199999999999996
14,2020-01-15,3.3,0.8,16.8,21.1,12.8,360.0,16.0,16.0,56.199999999999996
15,2020-01-16,5.1,0.0,11.3,12.8,1.7,20.0,16.8,16.8,55.199999999999996
16,2020-01-17,4.3,0.0,3.3,11.7,1.1,170.0,0.8,16.8,16.8
17,2020-01-18,7.1,5.6,10.3,13.9,3.9,180.0,0.0,0.8,16.8
18,2020-01-19,5.2,0.0,3.6,4.4,-4.9,350.0,5.6,5.6,22.4
19,2020-01-20,4.5,0.0,-5.0,-3.8,-6.6,10.0,5.6,5.6,6.3999999999999995
20,2020-01-21,3.7,0.0,-2.6,2.8,-4.3,30.0,0.0,5.6,5.6
21,2020-01-22,1.3,0.0,-0.3,8.3,-6.6,180.0,0.0,0.0,5.6
22,2020-01-23,2.7,18.0,5.6,9.4,2.8,190.0,0.0,0.0,5.6
23,2020-01-24,3.6,2.3,8.4,11.7,4.4,220.0,18.0,18.0,18.0
24,2020-01-25,2.8,0.0,4.2,4.4,-0.5,260.0,20.3,20.3,20.3
25,2020-01-26,2.8,0.5,3.7,10.0,-1.0,180.0,2.3,20.3,20.3
26,2020-01-27,3.1,1.3,9.4,15.0,2.8,320.0,0.5,2.8,20.8
27,2020-01-28,2.1,0.0,4.2,8.3,0.6,350.0,1.8,1.8,22.1
28,2020-01-29,2.8,0.0,5.0,8.9,3.3,10.0,1.3,1.8,4.1
29,2020-01-30,2.1,0.0,6.2,10.0,4.4,60.0,0.0,1.3,1.8
30,2020-01-31,1.1,0.5,7.8,10.0,5.6,330.0,0.0,0.0,1.8
31,2020-02-01,2.4,2.8,8.1,9.4,2.2,280.0,0.5,0.5,1.8
32,2020-02-02,3.5,0.0,9.3,21.7,1.1,250.0,3.3,3.3,3.3
33,2020-02-03,4.9,0.0,15.3,22.2,10.0,190.0,2.8,3.3,3.3
34,2020-02-04,4.8,20.6,16.8,18.3,13.9,200.0,0.0,2.8,3.3
35,2020-02-05,2.9,21.3,11.6,15.0,7.8,100.0,20.6,20.6,23.900000000000002
36,2020-02-06,3.5,5.1,6.7,8.3,0.6,310.0,41.900000000000006,41.900000000000006,44.7
37,2020-02-07,3.7,1.0,0.9,2.2,-1.6,280.0,26.4,47.0,47.00000000000001
38,2020-02-08,2.5,0.0,3.2,11.1,-1.0,270.0,6.1,27.4,48.00000000000001
39,2020-02-09,5.8,1.5,6.5,18.3,-1.0,190.0,1.0,6.1,48.00000000000001
40,2020-02-10,4.2,29.0,12.3,13.9,9.4,180.0,1.5,2.5,28.9
41,2020-02-11,3.8,13.7,8.4,9.4,5.0,350.0,30.5,30.5,36.599999999999994
42,2020-02-12,2.3,35.8,6.3,15.0,4.4,300.0,42.7,44.2,45.199999999999996
