,Date,Time,Location,Turbidity,E_coli,Flow,Gage_height,sinDOY,Prcp,Awnd,Tavg,Tmax,Tmin,Wdf2,Prev_two_prcp,Prev_three_prcp,Prev_five_prcp
0,2020-06-25,09:10:00,Highway 100,,1.0,355.0,2.27,0.997630305,0.0,1.4,24.9,31.1,19.4,270.0,13.5,14.800000000000008,31.099999999999994
1,2020-07-01,11:22:00,Highway 100,,2400.0,756.0,2.83,0.985220107,1.8,1.9,23.9,28.9,21.1,210.0,36.4,36.400000000000006,36.39999999999999
2,2020-07-02,10:15:00,Highway 100,,920.0,633.0,2.64,0.982125606,0.0,1.3,25.9,33.9,20.6,70.0,37.9,38.2,38.19999999999999
3,2020-07-08,09:50:00,Highway 100,,230.0,203.0,1.79,0.957485188,0.0,1.5,28.3,35.0,22.8,80.0,0.0,0.0,10.399999999999991
4,2020-07-10,09:20:00,Highway 100,,240.0,148.0,1.63,0.946987753,0.0,3.2,29.1,35.0,23.3,330.0,0.0,0.0,0.0
5,2020-07-16,09:35:00,Highway 100,,76.0,169.0,1.69,0.908817637,0.0,2.7,29.5,35.0,23.9,170.0,0.0,0.0,17.799999999999994
6,2020-07-17,09:14:00,Highway 100,,78.0,137.0,1.6,0.901501684,0.0,2.2,29.4,35.0,23.9,190.0,0.0,0.0,17.799999999999994
7,2020-07-23,10:06:00,Highway 100,,74.0,166.0,1.66,0.852077521,0.3,1.5,26.3,34.4,23.3,160.0,3.8,3.800000000000007,3.7999999999999927
8,2020-07-29,08:57:00,Highway 100,,48.0,119.0,1.53,0.793571609,0.0,1.1,26.7,32.8,23.3,200.0,38.1,43.400000000000006,47.49999999999999
9,2020-08-05,09:50:00,Highway 100,,290.0,224.0,1.84,0.714673386,0.0,2.8,24.3,30.6,19.4,340.0,0.0,0.0,22.099999999999994
10,2020-08-12,10:45:00,Highway 100,,250.0,92.0,1.44,0.625410573,2.3,1.5,26.9,32.2,23.9,50.0,0.0,1.000000000000007,0.9999999999999928
11,2020-08-19,09:33:00,Highway 100,,110.0,77.6,1.4,0.527077709,0.0,3.8,24.1,29.4,20.0,20.0,0.0,0.0,0.7999999999999929
12,2020-09-03,10:15:00,Highway 100,,1100.0,961.0,3.12,0.292600336,1.8,3.2,27.6,31.7,24.4,250.0,2.8,13.200000000000008,35.3
13,2020-09-24,11:02:00,Highway 100,,140.0,209.0,1.87,-0.064508449,0.8,3.3,17.3,19.4,16.1,60.0,0.5,0.5000000000000142,0.5
14,2020-10-08,11:30:00,Highway 100,,56.0,75.9,1.45,-0.300819807,0.0,0.4,19.2,26.7,11.7,180.0,0.0,0.0,0.0
15,2020-10-29,10:20:00,Highway 100,,2000.0,898.0,3.07,-0.618671403,2.8,4.1,18.8,23.9,9.4,320.0,19.3,19.600000000000016,20.1
16,2021-06-29,10:24:00,Highway 100,,98.0,44.1,1.35,0.992748722,0.0,1.7,28.2,35.6,22.8,180.0,2.3,2.300000000000004,2.300000000000004
17,2021-07-06,08:10:00,Highway 100,,40.0,34.3,1.29,0.971100052,0.0,1.8,28.2,35.0,21.7,150.0,0.0,0.0,8.900000000000006
18,2021-07-13,11:03:00,Highway 100,,78.0,83.3,1.52,0.935367949,0.5,4.2,25.2,28.9,22.8,180.0,14.2,14.200000000000005,14.200000000000005
19,2021-07-20,08:25:00,Highway 100,,200.0,71.3,1.47,0.886070622,0.0,3.8,26.4,32.2,22.2,20.0,63.5,63.50000000000001,63.8
20,2021-07-27,10:40:00,Highway 100,,100.0,43.2,1.34,0.823923006,0.0,2.0,28.5,35.0,23.9,360.0,39.9,39.900000000000006,39.900000000000006
21,2021-08-03,11:00:00,Highway 100,14.06,120.0,123.0,1.58,0.749826401,0.0,2.3,23.7,30.6,17.2,50.0,6.9,86.4,86.4
